,count,mean,std,min,25%,50%,75%,max,missing_rate
SeriousDlqin2yrs,150000.0,0.06684,0.24974553092871982,0.0,0.0,0.0,0.0,1.0,0.0
RevolvingUtilizationOfUnsecuredLines,150000.0,6.048438054666888,249.75537062544024,0.0,0.029867442,0.154180737,0.5590462475,50708.0,0.0
age,150000.0,52.295206666666665,14.771865863100349,0.0,41.0,52.0,63.0,109.0,0.0
NumberOfTime30-59DaysPastDueNotWorse,150000.0,0.4210333333333333,4.192781272018315,0.0,0.0,0.0,0.0,98.0,0.0
DebtRatio,150000.0,353.00507576386985,2037.81852314437,0.0,0.17507383225,0.366507841,0.86825377325,329664.0,0.0
MonthlyIncome,120269.0,6670.221237392844,14384.674215282135,0.0,3400.0,5400.0,8249.0,3008750.0,0.19820666666666667
NumberOfOpenCreditLinesAndLoans,150000.0,8.45276,5.145950989643273,0.0,5.0,8.0,11.0,58.0,0.0
NumberOfTimes90DaysLate,150000.0,0.26597333333333334,4.169303787594445,0.0,0.0,0.0,0.0,98.0,0.0
NumberRealEstateLoansOrLines,150000.0,1.01824,1.1297709848828605,0.0,0.0,1.0,2.0,54.0,0.0
NumberOfTime60-89DaysPastDueNotWorse,150000.0,0.24038666666666667,4.1551794209872215,0.0,0.0,0.0,0.0,98.0,0.0
NumberOfDependents,146076.0,0.7572222678605657,1.1150860714871407,0.0,0.0,0.0,1.0,20.0,0.02616
